resultId;raceId;driverId;constructorId;grid;position
6205;295;92;33;19;0
6206;295;99;36;18;0
6207;295;88;29;0;0
6208;295;128;34;0;0
6209;295;130;36;0;0
6210;295;71;34;0;0
6211;295;90;38;0;0
6212;296;95;3;1;1
6213;296;119;3;2;2
6214;296;84;22;7;3
6215;296;57;32;11;4
6216;296;100;27;10;5
6217;296;65;32;12;6
6218;296;105;29;14;7
6219;296;81;18;16;8
6220;296;109;35;17;9
6221;296;94;35;25;10
6222;296;129;25;22;11
6223;296;55;6;6;0
6224;296;110;25;19;0
6225;296;79;33;18;0
6226;296;123;27;9;0
6227;296;122;6;8;0
6228;296;91;37;21;0
6229;296;131;17;20;0
6230;296;88;29;15;0
6231;296;30;22;5;0
6232;296;77;1;4;0
6233;296;99;36;23;0
6234;296;102;1;3;0
6235;296;92;33;13;0
6236;296;127;17;24;0
6237;296;130;36;26;0
6238;296;108;37;0;0
6239;296;104;18;0;0
6240;296;128;34;0;0
6241;296;71;34;0;0
6242;297;95;3;1;1
6243;297;119;3;2;2
6244;297;84;22;6;3
6245;297;30;22;4;4
6246;297;77;1;5;5
6247;297;57;32;9;6
6248;297;105;29;12;7
6249;297;100;27;10;8
6250;297;122;6;14;9
6251;297;123;27;13;10
6252;297;129;25;20;11
6253;297;88;29;17;12
6254;297;109;35;19;13
6255;297;99;36;15;14
6256;297;94;35;22;15
6257;297;71;34;26;16
6258;297;81;18;25;17
6259;297;102;1;3;0
6260;297;110;25;18;0
6261;297;55;6;8;0
6262;297;131;17;23;0
6263;297;127;17;24;0
6264;297;92;33;11;0
6265;297;65;32;7;0
6266;297;91;37;21;0
6267;297;79;33;16;0
6268;297;70;18;0;0
6269;297;108;37;0;0
6270;297;130;36;0;0
6271;297;128;34;0;0
6272;297;90;38;0;0
6273;297;135;38;0;0
6274;298;95;3;1;1
6275;298;102;1;3;2
6276;298;30;22;6;3
6277;298;84;22;9;4
6278;298;55;6;5;5
6279;298;100;27;7;6
6280;298;123;27;8;7
6281;298;119;3;2;8
6282;298;105;29;17;9
6283;298;109;35;21;10
6284;298;94;35;18;11
6285;298;81;18;26;12
6286;298;108;37;22;13
6287;298;92;33;25;14
6288;298;127;17;23;15
6289;298;91;37;10;16
6290;298;99;36;19;0
6291;298;110;25;20;0
6292;298;65;32;11;0
6293;298;122;6;12;0
6294;298;57;32;13;0
6295;298;77;1;4;0
6296;298;129;25;14;0
6297;298;79;33;16;0
6298;298;88;29;15;0
6299;298;70;18;24;0
